N,CODIGO_PROYECTO,SUBDIRECCION,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,AGNO_CONCURSO,AGNO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA_MINCIENCIA,REGION_EJECUCION,MONTO_ADJUDICADO,NOTA_MONTO,MONEDA,PALABRAS_CLAVES
1,1820005,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,SORCION Y DESORCION DE METALES PESADOS EN SUELOS.,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,EDUARDO VICTOR SCHALSCHA BECKER,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,300,NA,Miles de pesos (M$),SIN INFORMACION
2,1820006,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTIMACION DEL IMPACTO DEL SANEAMIENTO BASICO SOBRE LA MORTALIDAD.,CIENCIAS MEDICAS Y DE LA SALUD,OTRAS ESPECIALIDADES DE LA MEDICINA,MEDICINA 1,12,PERSONA NATURAL,ANGEL CLAUDIO FLISFISCH FERNANDEZ,HOMBRE,FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES (FLACSO CHILE),RM,REGION METROPOLITANA DE SANTIAGO,130,NA,Miles de pesos (M$),SIN INFORMACION
3,1820009,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,EFECTOS NO IDEALES EN UN PLASMA CILINDRICO.,CIENCIAS NATURALES,FISICA TEORICA Y EXPERIMENTAL,FISICA TEORICA Y EXP,12,PERSONA NATURAL,LUIS GOMBEROFF JAIKLES,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,506,NA,Miles de pesos (M$),SIN INFORMACION
4,1820010,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIO SOBRE LA CONCIENCIA DE LA REALIDAD POLITICO SOCIAL COMO FACTOR FUNDAMENTAL EN LA GENESIS DE LA CRISIS CHILENA EN 1924,HUMANIDADES,HISTORIA,HISTORIA,12,PERSONA NATURAL,PEDRO CRISTIAN GAZMURI RIVEROS,HOMBRE,PARTICULAR,RM,REGION METROPOLITANA DE SANTIAGO,335,NA,Miles de pesos (M$),SIN INFORMACION
5,1820015,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,"ESTUDIO DE INTERACCIONES ENTRE ""BIOELECTROQUIMICA COMPUESTOS DE INTERES BIOLOGICO I"".",CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,JUAN ARTURO SQUELLA SERRANO,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,260,NA,Miles de pesos (M$),SIN INFORMACION
6,1820043,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,RECOLECCION MANTENCION Y EVALUACION DEL GERNOPLASMA CHILENO DE PAPAS.,CIENCIAS AGRICOLAS,AGRONOMIA Y OTRAS ESP. SILVOAGROPECUARIA,AGRONOMIA,12,PERSONA NATURAL,ANDRES NICOLAS CONTRERAS MENDEZ,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,SUR,REGION DE LOS RIOS,464,NA,Miles de pesos (M$),SIN INFORMACION
7,1820048,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,COMPUESTOS DE COORDINACION FORMADOS POR CARBOHIDRATOS Y METALES DE TRANSICION. I.-,CIENCIAS NATURALES,OTRAS ESPECIALIDADES DE LA QUIMICA,QUIMICA,12,PERSONA NATURAL,CARMEN SYLVIA IBARRA CORRALES,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,260,NA,Miles de pesos (M$),SIN INFORMACION
8,1820056,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,EL METODO NARRATIVO DE ALBERTO BLEST GANA.,HUMANIDADES,LINGUISTICA LITERATURA Y FILOLOGIA,LINGUISTICALITERATU,12,PERSONA NATURAL,JUAN ENRIQUE TALADRIZ,HOMBRE,PARTICULAR,CENTRO,REGION DE VALPARAISO,480,NA,Miles de pesos (M$),SIN INFORMACION
9,1820089,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ROL FUNCIONAL Y CATALITICO DE LA APIRASA DE S. TUBEROSUM VARIEDAD DESIREE.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,12,PERSONA NATURAL,MARIA AIDA TRAVERSO PASCUALETTI,MUJER,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
10,1820093,PROYECTOS DE INVESTIGACION,FONDECYT,REGULAR,CONCURSO NACIONAL REGULAR 1982,1982,1982,ESTUDIOS BIOQUIMICOS SOBRE LA MEUROTRANSMISION CENTRAL.,CIENCIAS NATURALES,BIOQUIMICA,BIOLOGIA 3,12,PERSONA NATURAL,FERNANDO JOSE ORREGO VICUNA,HOMBRE,UNIVERSIDAD DE CHILE,RM,REGION METROPOLITANA DE SANTIAGO,400,NA,Miles de pesos (M$),SIN INFORMACION
