N,CODIGO_PROYECTO,SUBDIRECCION,PROGRAMA,INSTRUMENTO,NOMBRE_CONCURSO,AGNO_CONCURSO,AGNO_FALLO,NOMBRE_PROYECTO,AREA_OCDE,DISCIPLINA_DETALLE,GRUPO_DE_EVALUACION,DURACION_MESES,TIPO_BENEFICIARIO,NOMBRE_RESPONSABLE,SEXO,INSTITUCION_PRINCIPAL,MACROZONA_MINCIENCIA,REGION_EJECUCION,MONTO_ADJUDICADO,NOTA_MONTO,MONEDA
40376,AUB2300001,CENTROS E INVESTIGACION ASOCIATIVA,PIA,TIEMPO DE BUQUE OCEANOGRAFICO,CONCURSO DE ASIGNACION DE TIEMPO DE BUQEUE OCEANOGRAFICO 2023,2023,2023,FLORACIONES ALGALES NOCIVAS EN SISTEMA DE FIORDOS INFLUENCIADOS POR GLACIARES – PATAGONIA EN UN ESCENARIO DE OCEANO CAMBIANTE (ICEFAN),CIENCIAS NATURALES,NA,NO APLICA,1,PERSONA JURIDICA,JOSE IRIARTE MACHUCA,HOMBRE,UNIVERSIDAD AUSTRAL DE CHILE,SUR,REGIÓN DE LOS RÍOS,0,NA,NA
40377,EQM230003,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,EXPANSION Y ACTUALIZACION DE EQUIPO ELECTROFISIOLOGICO PARA EL LABORATORIO DE NEUROCIENCIA COGNITIVA DE LA UNIVERSIDAD CATOLICA DEL NORTE.,CIENCIAS SOCIALES,NA,NA,18,PERSONA JURIDICA,MARCOS DOMIC SIEDE,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,REGIÓN DE ANTOFAGASTA,73393,NA,Miles de pesos (M$)
40378,EQM230017,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,ADQUISICION DE UN EQUIPO DE DIFRACCION DE RAYOS-X PARA LA UNIDAD DE EQUIPAMIENTO CIENTIFICO MAINI® DE LA UNIVERSIDAD CATOLICA DEL NORTE PARA FORTALECER LAS CAPACIDADES ANALITICAS EN LA MACRO-ZONA NORTE DE CHILE.,CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,ANDREA VASQUEZ ZAPATA,MUJER,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,REGIÓN DE ANTOFAGASTA,379473,NA,Miles de pesos (M$)
40379,EQM230037,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,"ADQUISICION DE UN ESPECTROMETRO DE RESONANCIA MAGNETICA NUCLEAR (RMN), PARA EL APOYO Y FORTALECIMIENTO DE LA INVESTIGACION INTER- Y MULTIDISCIPLINARIA EN LA REGION DE ANTOFAGASTA Y LA MACROZONA NORTE.",INGENIERIA Y TECNOLOGIA,NA,NA,18,PERSONA JURIDICA,JONATHAN CISTERNA GARCIA,HOMBRE,UNIVERSIDAD CATOLICA DEL NORTE,NORTE,REGIÓN DE ANTOFAGASTA,311239,NA,Miles de pesos (M$)
40380,R23F0001,CENTROS E INVESTIGACION ASOCIATIVA,REGIONAL,APOYO CENTROS REGIONALES,FORTALECIMIENTO AL DESARROLLO CIENTIFICO Y TECNOLOGICO DE CENTROS REGIONALES 2023,2023,2023,“INVESTIGACION Y DESARROLLO EN EL USO DE H2V DESDE LA REGION DE ANTOFAGASTA”,INGENIERIA Y TECNOLOGIA,NA,NA,48,PERSONA JURIDICA,LINDLEY MAXWELL VILLACORTA,HOMBRE,CENTRO DE INVESTIGACION CIENTIFICO TECNOLOGICO PARA LA MINERIA,NORTE,REGIÓN DE ANTOFAGASTA,2051972,NA,Miles de pesos (M$)
40381,ATE230067,CENTROS E INVESTIGACION ASOCIATIVA,PIA,ANILLOS EN AREAS TEMATICAS,ANILLOS DE INVESTIGACION EN AREAS TEMATICAS ESPECIFICAS 2023,2023,2023,AQUAUPRESILIENCE: ENHANCING AQUACULTURE RESILIENCE TO UPWELLING INTENSIFICATION THROUGH NOVEL MITIGATION AND ADAPTATION STRATEGIES BASED ON HOST-MICROBIOTA INTERACTIONS,CIENCIAS NATURALES,NA,NA,36,PERSONA JURIDICA,CARLOS HENRIQUEZ CASTILLO,HOMBRE,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ARIDAS,CENTRO,REGIÓN DE COQUIMBO,609000,NA,Miles de pesos (M$)
40382,EQM230020,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,FORTALECIMIENTO DE LAS CAPACIDADES DE INVESTIGACION EN QUIMICAS Y APOYO AL DESARROLLO DE CAPITAL HUMANO AVANZADO MEDIANTE LA ADQUISICION DE UN ESPECTROMETRO DE RESONANCIA MAGNETICA NUCLEAR DE SOBREMESA EN LA REGION DE COQUIMBO,CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,SEBASTIAN PIZARRO SAN FRANCISCO,HOMBRE,UNIVERSIDAD DE LA SERENA,CENTRO,REGIÓN DE COQUIMBO,203512,NA,Miles de pesos (M$)
40383,ATE230053,CENTROS E INVESTIGACION ASOCIATIVA,PIA,ANILLOS EN AREAS TEMATICAS,ANILLOS DE INVESTIGACION EN AREAS TEMATICAS ESPECIFICAS 2023,2023,2023,"HACIA ESCUELAS Y COMUNIDADES SOSTENIBLES EN TERRITORIOS RURALES EN CRISIS SOCIOAMBIENTAL


",CIENCIAS SOCIALES,NA,NA,36,PERSONA JURIDICA,CARMEN NUÑEZ MUÑOZ,MUJER,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGIÓN DE VALPARAÍSO,243000,NA,Miles de pesos (M$)
40384,ATE230072,CENTROS E INVESTIGACION ASOCIATIVA,PIA,ANILLOS EN AREAS TEMATICAS,ANILLOS DE INVESTIGACION EN AREAS TEMATICAS ESPECIFICAS 2023,2023,2023,CLIMATE PLURIVERSES: A DECOLONIAL PERSPECTIVE OF GEOHUMANITIES FOR THE DESIGN OF ALTERNATIVE TERRITORIES IN CONTEXTS OF CLIMATE CHANGE,CIENCIAS SOCIALES,NA,NA,36,PERSONA JURIDICA,PABLO MANSILLA QUIÑONES,HOMBRE,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,CENTRO,REGIÓN DE VALPARAÍSO,448500,NA,Miles de pesos (M$)
40385,AFB230003,CENTROS E INVESTIGACION ASOCIATIVA,PIA,APOYO CENTROS CYT FINANCIAMIENTO BASAL,APOYO A CENTROS CIENTIFICOS Y TECNOLOGICOS DE EXCELENCIA CON FINANCIAMIENTO BASAL 2023,2023,2023,APOYO BASAL 2023 CCTVAL,MULTIDISCIPLINARIO,NA,NA,24,PERSONA JURIDICA,WILLIAM BROOKS,HOMBRE,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,CENTRO,REGIÓN DE VALPARAÍSO,2732182,NA,Miles de pesos (M$)
40386,R23F0003,CENTROS E INVESTIGACION ASOCIATIVA,REGIONAL,APOYO CENTROS REGIONALES,FORTALECIMIENTO AL DESARROLLO CIENTIFICO Y TECNOLOGICO DE CENTROS REGIONALES 2023,2023,2023,ECOLOGICAL INTENSIFICATION OF AGRICULTURE: SUPPORTING TRANSITION TO SUSTAINABLE AGRI-FOOD SYSTEMS RESILIENT TO CLIMATE CHANGE,CIENCIAS AGRICOLAS,NA,NA,48,PERSONA JURIDICA,CARLOS HUENCHULEO PEDREROS,HOMBRE,CENTRO CERES,CENTRO,REGIÓN DE VALPARAÍSO,2051657,NA,Miles de pesos (M$)
40387,EQM230067,CENTROS E INVESTIGACION ASOCIATIVA,FONDEQUIP,EQUIPAMIENTO MEDIANO,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2023,2023,2023,FORTALECIMIENTO DE LAS CAPACIDADES ESPECTROSCOPICAS DE LA REGION DE VALPARAISO MEDIANTE LA ADQUISICION DE UN SISTEMA RAMAN TRANSPORTABLE DE ALTA RESOLUCION PARA REALIZAR MEDIDAS EXPERIMENTALES IN SITU.,CIENCIAS NATURALES,NA,NA,18,PERSONA JURIDICA,FREDDY CELIS BOZO,HOMBRE,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,CENTRO,REGIÓN DE VALPARAÍSO,238411,NA,Miles de pesos (M$)
