CODIGO_PROYECTO;N;SUBDIRECCION;PROGRAMA;INSTRUMENTO;NOMBRE_CONCURSO;AGNO_CONCURSO;AGNO_FALLO;NOMBRE_PROYECTO;AREA_OCDE;DISCIPLINA_DETALLE;GRUPO_DE_EVALUACION;DURACION_MESES;TIPO_BENEFICIARIO;NOMBRE_RESPONSABLE;SEXO;INSTITUCION_PRINCIPAL;MACROZONA_MINCIENCIA;REGION_EJECUCION;MONTO_ADJUDICADO (M$);NOTA_MONTO
ICN99_001;1;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;MILLENNIUM INSTITUTE FOR FUNDAMENTAL AND APPLIED BIOLOGY (IFAB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;PABLO VALENZUELA VALDES;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;6834806;
ICN99_003;2;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;MILLENIUM INSTITUTE FOR ADVANCED STUDIES IN CELL BIOLOGY AND BIOTECHNOLOGY (IASBB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;60;PERSONA NATURAL;RICARDO MACCIONI BARAONA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;3316971;
ICN99_005;3;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;CENTRO DE ESTUDIOS CIENTIFICOS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;CLAUDIO TEITELBOIM WEITZMANN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;7420108;
NCN99_037;4;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;"METAL DISPERSED SYSTEMS. APPLICATIONS FINE CHEMISTRY""";CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PATRICIO REYES NUÑEZ;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;399000;
NCN99_040-R02;5;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;CENTER FOR ADVANCED STUDIES IN ECOLOGY AND RESEARCH ON BIODIVERSITY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;MARY KALIN ARROYO;MUJER;NO APLICA;RM;REGION METROPOLITANA;703500;
NCN99_047-R02;6;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;CONDENSED MATTER PHYSICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;PATRICIO VARGAS CANTIN;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;852000;
NCN99_048-R02;7;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;MILLENNIUM NUCLEUS IN DEVELOPMENTAL BIOLOGY (MNDB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ROBERTO MAYOR CARO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;852000;
NCN99_063;8;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 1999 INSTITUTOS Y NUCLEOS CIENTIFICOS MILENIO;1999;1999;VALPARAISO CENTER FOR CELLULAR AND MOLECULAR NEUROSCIENCE;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;ALAN NEELY DELGUEIL;HOMBRE;NO APLICA;CENTRO;REGION DE VALPARAISO;399000;
NCN01_005-R04;9;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2002;NUCLEUS MILLENNIUM ON INFORMATION AND RANDOMNESS:  FUNDAMENTAL AND APPLICATIONS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;SERVET MARTINEZ AGUILERA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;892500;
NCN01_007-R04;10;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2002;INTEGRATIVE NEUROSCIENCE;MEDICINA Y CIENCIAS DE LA SALUD;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;PEDRO MALDONADO;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;952500;
NCN01_029-R04;11;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2001;PROPOSAL OF MILLENNIUM SCIENTIFIC NUCLEUS FOR WEB RESEARCH;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RICARDO BAEZA YATES;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;929000;
NCN01_034-R04;12;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2001;ENGINEERING OF COMPLEX SYSTEMS;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ANDRES WEINTRAUB POHORILLE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;1219000;
NCN01_057-R04;13;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2001 NUCLEOS CIENTIFICOS MILENIO;2001;2001;FOREST ECOSYSTEMIC SERVICES TO AQUATIC SYSTEMS UNDER CLIMATIC FLUCTUATIONS;CIENCIAS AGRICOLAS;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ANTONIO LARA A.;HOMBRE;NO APLICA;SUR;REGION DE LOS LAGOS;929000;
NCN02_004;14;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;MILLENNIUM NUCLEUS FOR APPLIED QUANTUM MECHANICS AND COMPUTATIONAL CHEMISTRY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;PATRICIA PEREZ LOPEZ;MUJER;NO APLICA;RM;REGION METROPOLITANA;487500;
NCN02_009-R06;15;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;THE MILLENNIUM NUCLEUS IN PLANT CELL BIOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ARIEL ORELLANA LOPEZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;1022394;
NCN02_033-R06;16;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;MILLENNIUM SCIENCE NUCLEUS OF SEISMOTECTONICS AND SEISMIC HAZARD;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;JAIME CAMPOS MUÑOZ;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;994000;
NCN02_049-R06;17;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2002 NUCLEOS CIENTIFICOS MILENIO;2002;2003;CENTER FOR QUANTUM OPTICS AND QUANTUM INFORMANTION;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;CARLOS SAAVEDRA RUBILAR;HOMBRE;NO APLICA;SUR;REGION DEL BIOBIO;1031500;
NCN04_007;18;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2004 NUCLEOS CIENTIFICOS MILENIO;2004;2005;MICROBIAL ECOLOGY AND ENVIRONMENTAL MICROBIOLOGY AND BIOTECHNOLOGY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;36;PERSONA NATURAL;BERNARDO GONZALEZ OJEDA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;486500;
NCN04_030-R07;19;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2004 NUCLEOS CIENTIFICOS MILENIO;2004;2005;MILLENNIUM NUCLEUS ON IMMUNOLOGY AND IMMUNOTHERAPY;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;ALEXIS KALERGIS PARRA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;450000;
NCN04_048-R07;20;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2004 NUCLEOS CIENTIFICOS MILENIO;2004;2005;POWER ELECTRONICS AND MECHATRONICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;JORGE PONTT OLIVARES;HOMBRE;NO APLICA;CENTRO;REGION DE VALPARAISO;1047055;
ICN05_001;21;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2005 INSTITUTOS CIENTIFICOS MILENIO;2005;2005;INSTITUTE FOR CELL DYNAMICS AND BIOTECHNOLOGY (ICDB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;60;PERSONA NATURAL;JUAN ALFONSO ASENJO DE LEUZE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;3843456;
ICN05_002;22;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2005 INSTITUTOS CIENTIFICOS MILENIO;2005;2005;INSTITUTE OF ECOLOGY AND BIODIVERSITY (IEB);CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;MARY THERESE KALIN HURLEY;MUJER;NO APLICA;RM;REGION METROPOLITANA;8180970;
ICN05_004;23;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;INSTITUTO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2005 INSTITUTOS CIENTIFICOS MILENIO;2005;2005;COMPLEX ENGINEERING SYSTEMS;INGENIERIA Y TECNOLOGIA;SIN INFORMACION;NO APLICA;120;PERSONA NATURAL;ANDRES FELIX WEINTRAUB POHORILLE;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;7789798;
NCN06_008-R10;24;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2006 NUCLEOS CIENTIFICOS MILENIO;2006;2007;STRESS AND ADDICTION:  FROM MOLECULES TO BEHAVIOUR;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;KATIA CECILIA GYSLING CASELLI;MUJER;NO APLICA;RM;REGION METROPOLITANA;1147679;
NCN06_009-R10;25;SUBDIRECCION DE CENTROS E INVESTIGACION ASOCIATIVA;MILENIO;NUCLEO MILENIO EN CIENCIAS NATURALES Y EXACTAS;CONCURSO DE PROYECTOS 2006 NUCLEOS CIENTIFICOS MILENIO;2006;2007;MILLENNIUM NUCLEUS FOR PLANT FUNCTIONAL GENOMICS;CIENCIAS NATURALES;SIN INFORMACION;NO APLICA;72;PERSONA NATURAL;RODRIGO GUTIERREZ ILABACA;HOMBRE;NO APLICA;RM;REGION METROPOLITANA;1767102;
